MG_MAR_factor01,MG_MAR_factor02,MG_MAR_factor03,MG_MAR_factor04,MG_MAR_factor05,MG_MAR_factor06,MG_MAR_factor07,MG_MAR_factor08,MG_MAR_factor09,MG_MAR_factor10,MG_MAR_factor11,MG_MAR_factor12,MG_MAR_factor13,MG_MAR_factor14,MG_MAR_factor15,MG_MAR_factor16,MG_MAR_factor17,MG_MAR_factor18,MG_MAR_factor19,MG_MAR_factor20,MG_MAR_factor21,MG_MAR_factor22,MG_MAR_factor23,MG_MAR_factor24,MG_MAR_factor25,MG_MAR_factor26,MG_MAR_factor27,MG_MAR_factor28,MG_MAR_factor29,MG_MAR_factor30,consecutive
002405.SZ,四维图新,2017,2016-05-17 00:00:00,,竞买方,完成,四维图新定增收购杰发科技100%股权,发行股份购买资产,横向整合,杰发科技100%股权,100,387510,41333.49012229539,386650,CNY,股权+现金,收益法,2015-11-30 00:00:00,19.3442,9.3544,中信建投证券,,软件和信息技术服务业,软件,电子元件,"20170321：四维图新发布相关实施情况报告书，本次交易完成。
20170307：标的资产已经完成过户。
20170118：北京四维图新科技股份有限公司发布了《发行股份及支付现金购买资产并募集配套资金暨关联交易报告书》，补充披露了本次交易涉及的股份发行价格和发行数量的调整等信息。
北京四维图新科技股份有限公司（以下简称“公司”）于2017年1月17日接到中国证券监督管理委员会（以下简称“中国证监会”）证监许可[2017]22号《关于核准北京四维图新科技股份有限公司向合肥高新科技创业投资有限公司等发行股份购买资产并募集配套资金的批复》文件。
20161024：北京四维图新科技股份有限公司于2016年10月24日收到中国证券监督管理委员会通知，经中国证监会上市公司并购重组审核委员会于2016年10月24日召开的2016年第77次工作会议审核，公司本次发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得无条件通过。
20161013：第二次证监会反馈意见回复。
20160929：第二次证监会反馈意见。
20160908：第一次证监会反馈意见回复。
20160824：第一次证监会反馈意见。
20160621：北京四维图新科技股份有限公司（以下简称“公司”）近日收到中国证券监督管理委员会（以下简称“中国证监会”）出具的《中国证监会行政许可申请受理通知书》（161456号）。中国证监会依法对公司提交的《北京四维图新科技股份有限公司发行股份购买资产核准》行政许可申请材料进行了审查，认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20160513：四维图新拟以发行股份及支付现金相结合的方式收购杰发科技全体股东所持有的杰发科技100%的股权。杰发科技100%股权的作价为387,510.00万元，其中以现金支付354,459.33万元。
2016年5月13日，四维图新第三届董事会第二十一次会议通过了相关议案。
杰发科技是一家从事车载信息娱乐系统芯片产品和解决方案的提供商，来源于国际顶级芯片设计企业联发科旗下的汽车电子事业部，目前在国内车载导航芯片后装市场中处于领先地位。本次重组使得公司的产业链延伸到关键的汽车芯片环节，将进一步形成在国内最完整的车联网全产业链布局。",天元律所,"瑞华会计所,信永中和",中同华,0
002409.SZ,雅克科技,2018,2017-10-19 00:00:00,,竞买方,完成,雅克科技定增收购科美特90%股权及江苏先科84.8250%股权,发行股份购买资产,资产调整,科美特90%股权;江苏先科84.8250%股权,,246728.8,146149.02713795638,238573.6719,CNY,股权,"资产基础法,收益法",2017-03-31 00:00:00,,,东兴证券,,化学原料和化学制品制造业,化工,"特种化工,半导体产品","20180614：雅克科技发布相关实施情况报告书，本次交易完成。
20180427：标的资产已经过户。
20180414：证监会批准。
20180315：发审委通过
20180227：第二次证监会反馈意见回复。
20180129：第二次证监会反馈意见。
20180111：第一次证监会反馈意见回复。
20171208：第一次证监会反馈意见。
20171116：证监会受理。
20171108：股东大会通过。
20171019：江苏雅克科技股份有限公司拟采用发行股份的方式购买科美特90%的股权、江苏先科84.8250%的股权。本次交易完成后，本公司将持有科美特90%的股权和江苏先科100%的股权。本次交易不会导致本公司实际控制人发生变化。
2017年10月17日，上市公司召开第四届董事会第六次会议，审议通过了本次发行股份购买资产报告书（草案）的相关议案。雅克科技已与各交易对方签署了《发行股份购买资产协议》。
本次交易完成后，上市公司将通过全资控股江苏先科进而实现对韩国UP Chemical的控制，切入半导体前驱体材料行业，有效扩展公司现有的产品线，提升公司的产品技术水平和持续盈利能力，继续增强上市公司在电子材料领域的业务和技术实力。同时，收购科美特90%的股权将使得上市公司具备氟化物等电子材料的生产技术和能力。
上市公司将继续以电子（半导体）材料为发展核心，同时发展塑料助剂和复合材料，以战略新兴行业需求为导向，以国际化和多元化产业布局为指引，结合已有产品的应用以及对在研产品的开发，叠加外延式并购，通过“并购+投资+整合”的全新发展模式，努力将雅克科技建设成为战略新兴材料的一流上市公司。",国浩律师,天衡会计,坤元评估,0
002411.SZ,*ST必康,2021,2020-11-14 00:00:00,,出让方,失败,新宙邦购买九九久科技74.24%股权,协议收购,战略合作,九九久科技74.24%股权,74.24,222720,104621.22028640853,202368.8264,CNY,现金,收益法,2020-09-30 00:00:00,25.118,1.9311,华泰联合证券,,医药制造业,制药,多元化工,"20210111：深圳新宙邦科技股份有限公司2021年1月11日召开第五届董事会第十六次会议，审议通过了《关于终止重大资产购买事项的议案》。
20201229：延安必康制药股份有限公司2020年第十次临时股东大会审议通过《关于转让江苏九九久科技有限公司74.24%股权的议案》。
20201207：深圳新宙邦科技股份有限公司发布此次交易的草案，更新了相关信息。
20201114：深圳新宙邦科技股份有限公司（以下简称“公司”或“新宙邦”）发布本次交易预案，本次交易方案为上市公司以支付现金的方式购买延安必康所持有的九九久74.24%股权。
2020年11月12日，上市公司召开第五届董事会第八次会议，审议通过本次重大资产购买预案的相关议案。
本次交易完成后，上市公司的资产总额、收入规模将得到进一步提升，公司的综合竞争实力和抗风险能力将进一步增强，有助于提高公司资产质量和盈利能力，符合公司及全体股东的利益。",中伦律所,"安永华明,大华会计师事务所",中联评估,0
002411.SZ,延安必康,0,,2018-06-19 00:00:00,,停牌筹划,必康股份停牌筹划发股购买州北盟物流100%股权,发行股份购买资产,横向整合,北盟物流100%股权,100,,,,CNY,,,,,,,,医药制造业,制药,,"20180619:江苏必康制药股份有限公司拟通过发行股份购买资产的方式收购新沂经济开发区建设发展有限公持有的徐州北盟物流有限公司100%股权。受让方和转让方预估目标公司的整体估值约为人民币15至20亿元，公司在江苏省新沂市建有“技改搬迁项目”，该项目为公司新建的制药生产车
间，投产在即。本次收购事项若能顺利完成，将有利于推进公司战略布局，打造医药行业供应链闭环，从而减少配送环节、提高物流效率、降低仓储及运输成本。",,,,0
002417.SZ,深南股份,2018,2017-04-07 00:00:00,2017-03-15 00:00:00,出让方,完成,三元达出售三家子公司股权及通讯业务有关的资产和负债,协议收购,资产调整,三元达信息100%股权;三元达科技100%股权;捷运信通90%股权;通讯业务经营性资产和负债,,4095,2909.5217792936833,4094.57,CNY,现金,资产基础法,2016-12-31 00:00:00,,,中信证券,,软件和信息技术服务业,信息技术服务,"通信设备,信息科技咨询与其它服务","20180130：上市公司发布实施情况报告书，事件已完成。
20170407：福建三元达通讯股份有限公司以4,095.00万元的价格向三元达控股出售本公司与通讯业务有关的资产和负债（特定资产负债除外），三元达控股以现金方式支付转让价款。本次交易标的资产为上市公司通讯业务相关的资产和负债（特定资产和负债除外），具体包括：上市公司名下的通讯业务经营性资产和负债及3家子公司股权，其中3家子公司股权具体为：三元达信息100%股权、三元达科技100%股权、捷运信通90%股权。交易完成后，上市公司不再持有上述3家子公司股权。
2017年4月6日，上市公司第三届董事会第三十三次审议并通过《关于<福建三元达通讯股份有限公司重大资产出售暨关联交易方案>的议案》
本次交易有利于最大程度维护上市公司股东利益，有利于集中资源调整业务结构，发展优势产业。",国枫律师事务所,致同会所,中企华评估,0
002417.SZ,深南股份,2019,2019-05-15 00:00:00,2019-04-29 00:00:00,竞买方,失败,深南股份发行股份和支付现金购买威海怡和100%股权,发行股份购买资产,战略合作,威海怡和100%股权,100,,,,,股权+现金,,,,,,,软件和信息技术服务业,信息技术服务,机动车零配件与设备,"20191220：2019年12月19日，公司召开第四届董事会第三十次会议，审议通过了《关于终止重大资产重组事项的议案》，由于2019年即将结束，本次重大资产重组的业绩承诺期调整为2020-2022年，交易各方对新的业绩承诺利润无法达成一致。为保护上市公司和广大投资者利益，经审慎研究，公司决定终止本次重大资产重组事项。
20191214：经友好协商一致，中信建投不再担任公司本次重组的独立财务顾问，为保证本次重组工作的顺利推进，公司将尽快重新聘请具备相应资质的独立财务顾问。
20191014：本次交易方案已取得国防科工局原则同意，并获得国防科工局关于特殊财务信息豁免披露有关事项的批复。
20190515：上市公司拟以发行股份及支付现金的方式向赵美光、仲秀霞和任义国等3名交易对方购买其持有的威海怡和100%股权。本次交易完成后，上市公司将持有威海怡和100%股权。
2019年5月13日，上市公司召开第四届董事会第二十三次会议，审议通过了本次发行股份及支付现金购买资产方案等相关议案。
本次交易完成后，上市公司通过并购标的公司进入军工专用装备制造领域，形成多支柱产业结构，实现跨越式多元化发展；同时，公司本次交易完成后，公司经营规模将显著扩大，盈利能力将稳步提升，能够对经营风险进行有效的分散，避免由于对单一市场过分依赖造成的经营业绩波动，抵抗风险能力将得到加强。
20190429：深南金科股份有限公司（以下简称“公司”、“深南股份”）拟以发行股份及结合现金支付的方式购买威海怡和专用设备制造有限公司（以下简称“威海怡和”或“标的公司”）全体股东持有的威海怡和100%股权（以下简称“本次交易或本次重组”），本次交易预计构成公司的重大资产重组。",,,,1
002418.SZ,康盛股份,2018,2018-06-09 00:00:00,,竞买方,完成,康盛股份收购中植一客100%股权,资产置换,垂直整合,中植一客100%股权,100,60000,43764.96476341147,60859.56,CNY,现金+资产,资产基础法,2017-12-31 00:00:00,8.7483,1.3189,国泰君安,,通用设备制造业,家庭耐用消费品,汽车制造,"20181023：康盛股份发布了《重大资产置换及支付现金购买资产暨关联交易实施情况报告书》，前述股权转让事宜已经完成。
20180926：上市公司2018年第四次临时股东大会审议并通过了相关议案
20180908：2018年9月7日，上市公司召开第四届董事会第十次会议，审议通过了《关于调整公司重大资产置换及支付现金购买资产方案的议案》等相关议案，对本次交易方案进行了调整，上市公司拟以其持有的富嘉租赁40%的股权与中植新能源持有的中植一客100%的股权进行置换，置换差额部分由上市公司以现金方式向中植新能源予以支付。截至评估基准日，中植一客的评估值为60,859.56万元，富嘉租赁的评估值147,140.00万元。据此，交易各方经协商一致确定中植一客100%股权的交易作价为60,000.00万元。富嘉租赁100%股权的交易作价为148,000.00万元。由此，置换交易差额对价为800.00万元，上市公司拟以支付现金方式向中植新能源补足。
20180821：公司拟对本次重大资产置换及支付现金购买资产方案进行调整，终止收购中植新能源以及于忠国等46名自然人持有的烟台舒驰95.42%的股权，并继续推进置出富嘉租赁75%的股权与置入中植新能源持有的中植一客100%的股权事项。
20180609：康盛股份以其持有的富嘉租赁 75%的股权作为置出资产，与中植新能源持有的烟台舒驰 51%的股权以及中植一客 100%的股权进行资产置换。经上市公司与交易对方协商，烟台舒驰 100%股权的交易作价为 104,000.00万元，中植一客 100%股权的交易作价为 60,000.00 万元，富嘉租赁 100%股权的交易作价为 148,000.00 万元。由此，置换交易差额对价为 2,040.00 万元，上市公司拟以支付现金方式向中植新能源补足。
在上述资产置换的基础上，上市公司拟以支付现金的方式购买于忠国等 46名自然人持有的烟台舒驰 44.42%的股权。经上市公司与交易各方协商，烟台舒驰 100%股权的交易作价为 104,000.00万元，应支付现金 46,199.06万元。
2018年6月8日，康盛股份召开了第四届董事会第八次会议，审议通过了《关于公司重大资产置换及支付现金购买资产构成关联交易的议案》。
本次交易有利于康盛股份完善产业链布局，充分发挥协同效应，提升商业价值。",上海仁盈律师事务所,"众华沪银,立信中联","坤元评估,万隆评估",0
002418.SZ,康盛股份,2018,2017-06-16 00:00:00,,竞买方,失败,康盛股份定增收购烟台舒驰95.42%的股权和中植一客100%的股权,发行股份购买资产,横向整合,烟台舒驰95.42%的股权;中植一客100%的股权,,153239.06,57835.404090823795,154102.4342,CNY,股权,"资产基础法,收益法",2017-09-30 00:00:00,,,国泰君安,,通用设备制造业,家庭耐用消费品,"机动车零配件与设备,汽车制造","20180411：康盛股份终止本次发股。
20180329：第二次证监会反馈意见回复。
20180315：第二次证监会反馈意见。
20180301：中介机构发生改变。
20180222：第一次证监会反馈意见回复。
20180110：第一次证监会反馈意见。
20171213：证监会受理。
20171116：上市公司发布了《发行股份购买资产并募集配套资金暨关联交易报告书（草案）》，公布了基于2017年9月30日两个标的的资产评估报告，重新确定了交易对价。
20170615：康盛股份拟向中植新能源以及于忠国等 46 名自然人非公开发行股份购买其合计持有的烟台舒驰 95.42%的股权、中植一客 100%的股权。经上市公司与交易对方协商，初步确定烟台舒驰 100%股权的交易价格为104,000.00 万元，中植一客 100%股权的交易价格为 49,000.00 万元，据此初步确定标的资产的交易金额合计为 148,239.06万元。
2017年6月15日，康盛股份召开了第四届董事会第四次会议，审议通过了《关于公司发行股份购买资产构成关联交易的议案》。
本次交易有利于康盛股份充分发挥协同效应，提升商业价值。",上海市联合律师事务所,"立信中联,天健会计事务所,众华沪银",坤元评估,0
002423.SZ,中粮资本,2019,2018-04-25 00:00:00,,竞买方,完成,中原特钢定增收购中粮资本100%股权,发行股份购买资产,横向整合,中粮资本100%股权,100,2118567.61,1450874.95548555,2118567.61,CNY,实物资产+股权,资产基础法,2017-09-30 00:00:00,24.6397,,中信建投证券,,其他金融业,资本市场,多领域控股,"20190220：发布上市实施情况报告书，本次交易已完成。
20190115：标的资产过户。
20190103：证监会核准。
20181204：发审委通过。
20181115：第一次证监会反馈意见回复。
20181029：第一次证监会反馈意见。
20180927：中原特钢股份有限公司已收到中国证券监督管理委员会于2018年9月26日出具的《中国证监会行政许可申请受理单》（181469号），中国证监会对公司提交的上市公司发行股份购买资产核准事项的行政许可申请材料进行了审查，认为该申请材料齐全，决定对该行政许可申请予以受理。
20180612：国资委批准。
20180526：本次交易方案已获得国务院国资委的原则性同意，已完成国务院国资委评估备案程序。已获得国防科工局的同意批复。
20180425：中原特钢持有的以截至评估基准日2017年9月30日经评估的全部资产及负债与中粮集团持有的以截至评估基准日2017年9月30日经评估的中粮资本64.51%股权的等值部分进行置换。中原特钢将其截至2017年9月30日的除特钢装备 100%股权外的其他资产及负债注入特钢装备，于本次交易实施时，将其持有的特钢装备 100%股权作为置出资产完成交付。上市公司置出资产由中粮集团承接。
中粮资本 64.51%股权经上述资产置换后的差额部分由中原特钢向中粮集团发行股份购买。同时，中原特钢向弘毅弘量、温氏投资、首农集团、结构调整基金、宁波雾繁、航发资产、上海国际资管发行股份购买其合计持有的中粮资本35.49%股权。
2018年4月24日，中原特钢召开了第三届董事会第四十八次会议，审议通过了《关于公司本次重大资产置换及发行股份购买资产暨关联交易方案的议案》。
本次交易将实现业务转型，依托中粮集团产业背景和品牌优势推进农业产业链产融协同、服务实体经济，提升抗风险能力和可持续发展能力，有利于实现整体经营业绩提升，符合上市公司全体股东的利益。",嘉源律师,"中兴财,安永华明,立信",中企华评估,0
002433.SZ,太安堂,2022,2021-04-22 00:00:00,,出让方,失败,太安堂出售康爱多47.35%股权,协议收购,资产调整,康爱多47.35%股权,47.35,74813,12721.288480008088,75499.575,CNY,现金,收益法,2020-12-31 00:00:00,50.4943,5.8559,粤开证券,,医药制造业,制药,中药,"20220129：根据《股权转让协议》约定及交割审计的结果，双方协商一致，决定终止本次股权转让事项。
20210715：截至本报告书出具之日，上市公司原持有的康爱多47.35%的股权已过户至成都医云，相关工商变更登记手续已办理完毕，并于2021年7月6日换发了新的营业执照。
20210707：截至2021年7月6日，交易双方均已完成对应的标的股权过户工商变更登记手续，本次交易的交易对方已合法取得广东康爱多数字健康科技有限公司47.35%股权。成都医云科技有限公司已支付了60%的股权款，公司将根据进展情况及时履行信披义务。
20210625：截至本公告披露日，成都医云科技有限公司支付了60%的股权款，工商变更在进行中,公司将根据进展情况及时履行信披义务。
20210511：太安堂2021年第二次临时股东大会审议通过。
20210422：本次交易为上市公司向成都医云出售上市公司持有的康爱多47.35%的股权，同时上市公司将持有康爱多4%股权的表决权委托给成都医云行使。
本次交易的交易对方为成都医云。根据《上市规则》的相关规定，成都医云不是上市公司的关联方，本次交易不构成关联交易。本次交易构成重大资产重组，不构成重组上市。
本次重大资产出售前，上市公司主营业务为中成药研发、生产及销售，中药材初加工及销售，医药批发零售（医药电商）等业务。通过本次重大资产出售，上市公司将剥离医药电商业务，继续保留中成药研发、生产及销售，中药材初加工及销售等业务。",国浩律师,中兴华,中威正信,0
002437.SZ,誉衡药业,2017,2016-06-22 00:00:00,,出让方,发审委未通过,仟源医药非公开发行募集资金收购普德药业100.00%股权,协议收购,横向整合,普德药业100.00%股权,100,300108.96,76687.5249143967,300108.96,CNY,现金,收益法,2016-09-30 00:00:00,14.4528,3.9134,,,医药制造业,制药,西药,"20170816：2017年8月15日，中国证监会创业板发行审核委员会对公司申请的2016年度创业板非公开发行股票事宜进行了审核。根据发行审核委员会的审核结果，公司本次非公开发行股票申请未获得通过。
20170406：山西仟源医药集团股份有限公司发布《2016年度非公开发行A股股票预案（修订稿）》披露了普德药业2016年度财务数据。
20161223：山西仟源医药集团股份有限公司（以下简称“公司”）于2016年12月23日收到中国证券监督管理委员会（以下简称“中国证监会”）出具的《中国证监会行政许可申请受理通知书》（163722号）。中国证监会对公司提交的《山西仟源医药集团股份有限公司创业板上市公司非公开发行新股核准》行政许可申请材料进行了审查。认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20161124：山西仟源医药集团股份有限公司2016年第二次临时股东大会审议通过《关于公司非公开发行股票方案（修订）的议案》。
20161108：山西仟源医药集团股份有限公司2016年度非公开发行A股股票预案（修订稿），补充评估值等信息。
20160621：仟源医药拟非公开发行募集资金收购普德药业100.00%股权。
2016年6月21日，仟源医药召开了第二届董事会第三十七次会议，审议通过了《关于公司2016年度非公开发行股票方案的议案》。
本次交易有利于上市公司增强盈利能力，有利于丰富公司产品线。",国浩律师,立信,中和谊,0
002437.SZ,誉衡药业,0,,2018-06-11 00:00:00,,停牌筹划,誉衡药业筹划重大重组事项,发行股份购买资产,横向整合,天麦生物科技不低于于35%股权,,,,,CNY,,,,,,,,医药制造业,制药,,20180611：2018年6月10日，公司与合肥生命科技园投资开发有限公司签署了《重大资产重组意向性协议》，根据《意向性协议》的约定，公司拟在《意向性协议》约定的排他期内，收购合肥天麦生物科技发展有限公司不低于35%的可转让无负担股权，取得对交易标的的控制权，收购方式拟为现金支付及发行股份的方式支付。交易对方作为交易标的的发起人及主要股东，承诺有意向推进本次交易。,,,,0
002444.SZ,巨星科技,2019,2019-06-04 00:00:00,,竞买方,完成,巨星科技增资中策海潮获其24.38%股权并间接收购中策橡胶11.44%股权,协议收购,横向整合,中策海潮24.38%股权;中策橡胶11.44%股权,,238815.01,,,CNY,现金,,,,,中信建投证券,,金属制品业,机械,"多领域控股,轮胎与橡胶","20191023：在绵阳元信东朝、杭州元信东朝持有中策橡胶的股权解除质押后，中策橡胶已于2019年10月21日办理了标的资产过户的工商变更登记，并领取了杭州经济技术开发区市场监督管理局换发的《营业执照》。
发布实施情况报告书。
20191015：2019年10月14日，杭州巨星科技股份有限公司召开2019年第一次临时股东大会，逐项审议通过了《关于公司重大资产重组方案的议案》。
20190928：为控制投资风险并保障上市公司利益，本次交易在原有交易方案的基础上，杭州巨星科技股份有限公司（以下简称“巨星科技”）和杭叉集团股份有限公司（以下简称“杭叉集团”）拟各自下调出资额1.25亿元，调整后巨星科技和杭叉集团将分别向杭州中策海潮企业管理有限公司（以下简称“中策海潮”）增资9.75亿元，并取得中策海潮24.38%股权，从而分别间接收购中策橡胶11.44%股权。
20190604：本次交易中上市公司拟以现金方式间接收购中策橡胶12.91%股权。综合考虑上市公司资金安排、交易付款进度、融资安排等因素影响，公司将通过专为本次交易设立的持股平台中策海潮对中策橡胶实施收购。因此，本次交易方案包括向持股平台中策海潮增资和通过持股平台收购中策橡胶两个部分，具体内容如下：
上市公司以每股1元价格向持股平台中策海潮增资110,000万元，并取得中策海潮27.50%股权。中策海潮是为实现本次交易而设立的特殊目的公司，其自身不存在业务或其他资产。
在增资完成后，中策海潮将支付现金购买杭州元信东朝、绵阳元信东朝、杭州元信朝合、Cliff Investment、Esta Investments、CSI、JGF、中国轮胎企业等8名交易对方所持有的中策橡胶股权，合计占中策橡胶注册资本的46.95%。收购完成后，中策海潮将取得中策橡胶控股权。本次交易完成后上市公司将通过中策海潮间接持有中策橡胶12.91%股权。
上述增资和收购两部分系本次交易的整体安排，互为条件、不可分割。",天册,"德勤华永,天健会计事务所",万邦资产评估有限公司,0
002445.SZ,中南文化,2018,2017-09-29 00:00:00,,出让方,完成,"快乐购定增收购快乐阳光,芒果互娱等多家公司股权",发行股份购买资产,横向整合,快乐阳光100%股权;芒果互娱100%股权;天娱传媒100%股权等,,1155075.12,224806.56264071894,1148244.48,CNY,股权,收益法,2017-06-30 00:00:00,,,"中金公司,财信证券",,广播、电视、电影和影视录音制作业,媒体Ⅲ,"电影与娱乐,互联网软件与服务","20180712：上市公司发布本次交易实施情况报告，本次交易完成。
20180630：标的资产已经过户。
20180622：证监会核准。
20180427：发审委通过
20180402：第一次证监会反馈意见回复。
20180116：第一次证监会反馈意见。
20171220：证监会受理。
20171208：股东大会通过。
20170929：快乐购拟向芒果传媒发行股份购买其持有的快乐阳光 84.13%股权、芒果互娱 51.80%股权、天娱传媒 100%股权、芒果影视 100%股权以及芒果娱乐 100%股权；拟向芒果海通、厦门建发、上海国和、联新资本、湖南文旅、光大新娱、广州越秀、芒果文创、建投华文、上海骏勇和中核鼎元发行股份购买其合计持有的快乐阳光 15.87%股权；拟向芒果文创、西藏泰富、中南文化、成长文化和上海骅伟发行股份购买其合计持有的芒果互娱 48.20%股权。
2017年9月27日，快乐购召开了第三届董事会第四次会议，审议通过了《关于公司发行股份购买资产并募集配套资金暨关联交易的方案的议案》。
本次交易有利于上市公司构建全媒体产业链布局，打造芒果媒体生态，增强持续盈利能力，搭建 强大的资本平台。",君合律师,立信,中企华评估,0
002447.SZ,*ST晨鑫,2017,2017-09-07 00:00:00,,出让方,完成,"壹桥股份出售海珍品养殖,加工,销售业务相关资产及部分负债",协议收购,资产调整,"海珍品养殖,加工业务相关资产;海珍品养殖,加工业务部分负债",,157084.81,135757.3329876415,157084.81,CNY,现金,资产基础法,2017-06-30 00:00:00,,,中泰证券,,互联网和相关服务,软件,,"20171018：上市公司发布实施情况报告书，本次交易已全部完成。
20171011：股东大会通过。
20170923：上市公司发布重大资产出售暨关联交易报告书(草案)并披露出售资产评估及审计信息
20170907：壹桥股份拟将海珍品养殖、加工、销售业务相关资产及部分负债出售予上市公司控股股东、实际控制人刘德群，刘德群以现金作为支付对价。
本次交易完成后，上市公司将主要经营移动游戏业务，不再从事海珍品育苗、养殖、加工及销售业务。
本次交易重组预案及相关议案已于2017年9月6日经本公司第三届董事会第三十三次会议审议通过。
通过本次交易，上市公司出售经营前景具有不确定性的海珍品养殖、加工、销售业务相关资产及部分负债，从而能够回笼资金用于推动公司向互联网泛娱乐产业发展。公司将根据未来发展需要，适时以包括但不限于对外投资、收购兼并等方式，积极培育和开拓发展空间更大的移动游戏业务，实现公司业绩的持续稳定增长。",德恒律师,致同会所,辽宁众华,0
002451.SZ,摩恩电气,0,,2018-02-03 00:00:00,,停牌筹划,摩恩电气停牌筹划收购开开电缆100%股权,发行股份购买资产,横向整合,开开电缆100%股权,100,35000,,,CNY,股权,,,,,,,电气机械和器材制造业,电气设备,,20180203：公司拟发行股份购买余纪炎与王荷花合计持有的开开电缆科技有限公司（以下简称“开开电缆”）100%的股权，最终收购股权比例由各方协商同意后确定，本次交易不构成关联交易。目前交易各方已签订了意向协议，正式合作协议待公司聘请的中介机构完成尽职调查后，经各方商定后签订并另行公告。,,,,0
002453.SZ,华软科技,2018,2018-01-20 00:00:00,,竞买方,完成,天马精化收购暨增资中科电子获其53.33%股权,增资,横向整合,中科电子53.33%股权,53.33,11200,2810.487966558658,11362.5218,CNY,现金,收益法,2017-12-31 00:00:00,19.1162,3.9851,开源证券,,软件和信息技术服务业,信息技术服务,电子设备和仪器,"20180523：上市公司发布本次交易实施情况报告，本次交易完成。
20180426：股东大会通过。
20180410：发布了《苏州天马精细化学品股份有限公司重大资产购买报告书（草案）》。
20180120：本次交易为北京金信拟以现金方式购买恒沙科技持有的中科电子51%股权。本次交易前，天马精化及其全资子公司北京金信未持有中科电子股权；本次现金购买完成后，天马精化将通过北京金信持有中科电子51%股权。同时，北京金信向中科电子增资1,000万元，其中200万元计入标的公司注册资本，800万元计入标的公司资本公积。本次现金购买标的公司股权及向标的公司增资完成后，北京金信将持有中科电子53.33%股权。本次交易方案已经天马精化董事会审议通过。
通过并购中科电子，上市公司可以借助中科电子拥有的优质客户资源，积极拓展业务渠道和客户来源，同时为供应链各链条环节客户提供优质高效服务，进一步加强与夯实上市公司供应链管理发展战略。",,致同会所,中锋资产评估,0
002453.SZ,华软科技,2020,2019-11-09 00:00:00,2019-10-28 00:00:00,竞买方,完成,华软科技定增收购奥得赛化学98.94%股权,发行股份购买资产,其他并购目的,奥得赛化学98.94%股权,98.94,134556.65,39385.04700530705,135067.0802,CNY,股权+现金,收益法,2019-12-31 00:00:00,17.6908,3.4294,天风证券,,软件和信息技术服务业,信息技术服务,特种化工,>FILE:0b594f6a55fe15cf2425582acbb21cec#F20_4066#TB_OBJECT_4066/F0/{15DCDB8E-F92F-11E9-BFD4-6C0B84A68751},国枫律师事务所,"立信,容诚会计",中水致远,0
002453.SZ,华软科技,2022,2021-12-04 00:00:00,,出让方,完成,华软科技出售倍升互联53.33%股权,协议收购,资产调整,倍升互联53.33%股权,53.33,20519.1787,6364.509925558313,20519.18,CNY,现金,市场法,2021-12-31 00:00:00,,,开源证券,,软件和信息技术服务业,信息技术服务,电子设备和仪器,"20220830：华软科技发布实施情况报告书，本次交易已完成。
20220820：华软科技2022年第四次临时股东大会审议通过。
20220804：金陵华软科技股份有限公司关于对深圳证券交易所重组问询函进行回复，并发布此次交易的修订稿。
20220630：本次交易价格以评估报告为基础由交易双方协商确定。本次拟出售资产的评估基准日为2021年12月31日，倍升互联100%股权的评估价值为38,473.46万元，对应53.33%股权的评估价值为20,519.18万元，具体情况参见本报告书“第六节 资产评估情况”和中锋评估出具的有关评估报告。经交易双方协商，确定本次出售倍升互联53.33%股权的交易价格为205,191,787.00元。
2022年6月29日，上市公司召开第五届董事会第三十四次会议，审议通过了《重组报告书》及本次重组相关议案。
本次交易有利于上市公司进一步明晰发展战略，聚焦精细化工业务；本次交易有利于维护上市公司及全体股东利益，回收现金并改善资本结构，强化股东回报，增强可持续发展能力。
20220507：截止目前，公司及有关各方正有序推进本次交易相关工作，进一步优化本次交易具体方案，交易双方尚未签署正式交易协议，并仍需按照相关法律、法规及《公司章程》的有关规定履行必要的决策和审批程序。目前公司聘请的独立财务顾问、法律顾问、审计机构和评估机构等中介机构正在加快推进完成本次交易涉及的相关各项工作。20220409：截止目前，本次交易的有关事项正在有序推进。
20211204：金陵华软科技股份有限公司（以下简称“公司”）正在筹划重大资产出售事项，近日公司与舞福科技集团有限公司（以下简称“舞福科技”或“交易对方”）签署了《重大资产出售意向协议》。公司拟向舞福科技出售所持有的倍升互联（北京）科技有限公司（以下简称“倍升互联”）53.33%股权（以下简称“标的股权”）。本次交易的交易对手为公司控股股东舞福科技集团有限公司，本次交易构成关联交易。经初步研究和测算，本次交易预计构成《上市公司重大资产重组管理办法》规定的重大资产重组。",君合律师,大华会计师事务所,中锋资产评估,0
